Şirket Adı,Adres,Numara,Web Sitesi,Mail,Durum,Notlar
HighTech,Hacettepe,(312) 299-25-95,https://www.hacettepeteknokent.com.tr/,info@hightechs.com.tr,,
Infoline,Hacettepe,90 312 440 02 50,https://infoline-tr.com/,info@infoline-tr.com,,
LOGO,Hacettepe,0 262 679 8000,https://www.logo.com.tr/,iletisim@logo.com.tr,,
Numesys,Hacettepe,,https://kariyer.numesys.com.tr/,https://kariyer.numesys.com.tr/profesyoneller-icin/#basvuru,,
SmartMassage,Hacettepe,,https://smartmessage.com/,https://smartmessage.com/contact-us/,,
Proven,Hacettepe,90 312 999 5650,https://www.proven.technology/,"info@proven.com.tr
info@proven.technology",,
Pidata,Hacettepe,0 312 284 84 60 - PBX,https://pidata.com.tr/,info@pidata.com.tr,,
Vega Yazılım,Hacettepe,"0850 346 94 94
0212 266 18 81",https://vegayazilim.com.tr/,info@vegayazilim.com.tr,,
Akdoğan tech,Ankara Teknokent,0 312 514 1661,https://akdogan.tech/,info@akdogan.tech,,
Z-sistem,Teknopark,90(312) 299 2619,https://www.z-sistem.com/,bilgi@z-sistem.com,,
IVEO Elektronik,Ankara Teknokent,0 312 484 00 90,https://www.iveoelectronics.com/home,https://www.iveoelectronics.com/intern-application,,
Özgür Entegrasyon,Ankara Teknokent,0 312 356 04 03,https://ozgurentegrasyon.com/index.html,info@ozgurentegrasyon.com,,
İhaTek (Drone),Teknopark,0312 283 74 60,https://ihatek.com.tr/,"https://ihatek.com.tr/iletisim/
info@ihatek.com.tr",,
RAS Robotic,Ankara Teknokent,0 (312) 227 80 65,https://ras-technology.com/,info@ras-technology.com,,DRONE
CyberLine,Teknopark,90 850 304 73 12,https://www.cyberline.com.tr/,info@cyberline.com.tr,,
Bistek Yazılım,Teknopark,0312 577 10 85,https://www.bistek.net/,"info@bistek.net
destek@bistek.net",,
Lapis Havacılık,Teknopark,0 312 511 46 13,https://www.lapisteknoloji.com/v1/default.asp,info@lapisteknoloji.com,,DRONE
Elma Bilgisayar,Teknopark,,https://elmabilgisayar.com/,info@elmabilgisayar.com,,
Kalemzen,Teknopark,,https://kalemzen.com.tr/,Talep Form,,
Securify Identify,Teknopark,0 850 5325564,https://www.securifyidentity.com/tr,info@securifyidentity.com,,
SwordSec,Teknopark,0 (850) 532 7769,https://swordsec.com/tr/,info@swordsec.com,,
Oxit Bilişim,Teknopark,0850 346 34 62,https://www.oxit.com.tr/,info@oxit.com.tr,,
Epsilon Composite,Osb,(312) 640 13 77,https://epsiloncomposite.com/careers.html,Talep Form,,
BMS Deffence,Osb,(312) 640 13 77,https://bmsdefence.com/,info@bmsdefence.com,,
KaracaTek,Teknopark,,https://www.karacatek.com/,info@karacatek.com,,
EnCode,Teknopark,,https://www.encodecompany.com/,info@encodecompany.com,,
,,,,,,
HERA arge teknoloji,Teknopark,90 530 435 63 46,https://www.heraweb.com.tr/,info@heraweb.com,,
Pagate,Teknopark,0 850 441 16 12,https://www.pagate.com.tr/,https://www.pagate.com.tr/,,
BombusAİ,Teknopark,"90 (506) 300 6551
",https://bombusai.com/,"info@bombusai.com
",,
Endorfyn,Teknopark,,http://www.endorfyn.com/, info@endorfyn.com,,
Fiyator,Teknopark,0312 911 77 92,https://fiyator.com/,info@fiyator.com,,
TCDD,Teknopark,903122270219,https://www.tcddteknik.com.tr/,info@tcddteknik.com.tr,,
BellaBinary,Teknopark,,http://www.bellabinary.com,info@bellabinary.com,,
FutureCode,Teknopark,0312 970 20 85,https://futurecode.com.tr/,info@futurecode.com.tr,,
Solofor Teknoloji,Teknopark,90 530 957 42 42,https://solofor.com/,info@solofor.com,,
Baytmap,Teknopark,90 312 219 82 52,http://www.baytmap.com/,bayt@baytmap.com,,
Playinfitiygames,Teknopark,,https://playfinitygames.com/,"info@playfinitygames.com
",,
siguntech,Teknopark,90 312 989 24 67,https://siguntech.tr/tr,info@siguntech.tr,,
tytovision,Teknopark,90 545 833 89 62,https://www.tytovision.com/,info@tytovision.com,,
Vitalen Holding,Teknopark,90 312 385 99 55,https://vitalen.com.tr, info@vitalen.com.tr,,
Airobos(DRONE),Teknopark,(90) 850-840-2646,https://airobos.com.tr/,info@airobos.com.tr,,DRONE
Finrend,Teknopark,,https://www.finrend.com/,https://www.finrend.com/support,,
Wncc,Teknopark,"
012 345 67890",https://wncc.com.tr/,info@wncc.com.tr,,
DivvyDrive,Teknopark,90 (312) 287 70 01,https://divvydrive.com/web/, info@divvydrive.com,,
CDK savunma,Teknopark,90 (312) 255 77 00,https://www.cdksavunma.com/tr, info@cdksavunma.com,,
ucanble,Teknopark,,https://ucanble.com/,info@ucanble.com,,
Kambilgi,Teknopark,"90 312 911 44 55
0 541 629 44 45",https://kambilgi.com.tr/,"destek@kambilgi.com.tr
https://kambilgi.com.tr/iletisim",,
Lieva,Teknopark,90 507 320 2072,https://lieva.com.tr/,"info@lieva.com.tr
TALEP FORM",,
Mavvo,Teknopark,0850 885 06 36,https://mavvo.com.tr/#,merhaba@mavvo.com.tr,,
argetek,Teknopark,,http://www.argetek.ai/,bilgi@argetek.ai,,
Hetabil,Teknopark,90 312 911 12 57,https://hetabil.com/anasayfa,info@hetabil.com,,
PlayerOnes,Teknopark,,https://playerones.com/,info@playerones.com,,
MetalWorm,Teknopark,90 542 131 68 83,https://www.metalworm.com/,info@metalworm.com,,
Hexmicrochip,Teknopark,90-312-486-1158,https://www.hexmicrochip.com/,"info@hexmicrochip.com
https://www.hexmicrochip.com/",,ATATÜRKÇÜ
Hullan,Teknopark,90 312 911 34 88,https://www.hullan.com/,info@hullan.com,,
Zyrone,Teknopark,90 312 511 2060,https://zyrone.com/#about,https://docs.google.com/forms/d/e/1FAIpQLSej1MIQ98lxU4cVEeclbnVvhYdR9l0hqeRqNkT93utrCUatxg/viewform,,DRONE
Super Code,Teknopark,0 (312) 395 55 89,https://supercode.com.tr/,info@supercode.com.tr,,
MVS,Teknopark,0 (312) 911 96 87,https://www.mvs.com.tr/AnaSayfa/,mail@mvs.com.tr,,
Ortamor,Teknopark,0 (312) 923 24 25,https://ortamor.com/,info@ortamor.com,,
Data Prime,Teknopark,90 530 066 82 04,https://www.dataprime.com.tr/,info@dataprime.com.tr,,
Milko,Teknopark,0 312 395 6875,https://milko.com.tr/index.html,info@milko.com.tr,,
Quanimo,Teknopark,90 (505) 502 56 82,https://www.quanimo.com/,info@quanimo.com,,
DTS Pro Teknoloji,Teknopark,0 535 301 36 20,https://dtsteknoloji.com/index.html,info@dtsproteknoloji.com,,
Yiva,Teknopark,0312 511 95 92,https://www.yivatechnology.com/,info@yivatechnology.com,,
Runic Bytes,Teknopark,90 850 441 81 10,https://runicbytes.com/,info@runicbytes.com,,
Tuya,Teknopark,,https://tuyateknoloji.com/,info@tuyateknoloji.com,,
Pergo,Teknopark,0 312 995 07 74,https://www.pergo.com.tr/,info@pergo.com.tr,,
ERP12,Teknopark,(0850) 302 03 04,https://www.erp12.com.tr/,info@12yazilim.com,,
Abiba Soft,Teknopark,0 850 840 76 91,https://www.abibasoft.com/tr/,info@abibasoft.com,,
Abis,ODTÜ,0 (352) 380 00 10,https://www.abisteknoloji.com.tr/,info@abisteknoloji.com.tr,,
ACRuxco,ODTÜ,0 (312) 552 25 27,https://acruxco.com/index.html,info@acruxco.com,,
Argedor,ODTÜ,0 312 210 15 35,https://www.argedor.com/index.html,info@argedor.com,,
Armongate,ODTÜ,0(850) 202 06 06,https://www.armongate.com/,info@armongate.com,,
Arpanet,ODTÜ,0 (312) 502 05 42,https://arpanet.com.tr/,info@arpanet.com.tr,,
Arvento,ODTÜ,444 777 5,https://arvento.com/,info@arvento.com,,
Asisguard,ODTÜ,0 850 577 27 47,https://www.asisguard.com.tr/,ik@asisguard.com.tr,,
Aurvis,ODTÜ,0) 505 640 25 34,https://www.aurvis.com/,info@aurvis.com,,
Beam,ODTÜ,0 (312) 210-1224,https://beamteknoloji.com/,contact@beamteknoloji.com,,
BİAS,ODTÜ,,https://bias.com.tr/,staj@bias.com.tr,,
Data Boss,ODTÜ,0 312 265 06 14,https://www.data-boss.com.tr/,info@data-boss.com.tr,,
Dia,ODTÜ,,https://www.dia.com.tr/,ik@dia.com.tr,,
Electraic,ODTÜ,,https://www.electraic.com/,careers@electraic.com,,
Solarvis,ODTÜ,,https://www.solarvis.co/tr,career@solarvis.co,,
Esensi,ODTÜ,,https://www.esensi.com.tr/tr,ik@esensi.com.tr,,
Fame Crypt,ODTÜ,0 538 973 33 83,https://famecrypt.com.tr/,info@famecrypt.com.tr,,
GCLAB,ODTÜ,,https://gclabmuhendislik.com/,ik@gclabmuhendislik.com,,
İnfoSoft,ODTÜ,0 (312) 418 94 15,https://www.infosoft.com.tr/,bilgi@infosoft.com.tr,,
İnvicta,ODTÜ,0 312 988 11 55,https://invicta.com.tr/,info@invicta.com.tr,,
İsomer,ODTÜ,,https://www.isomer.com.tr/tr/index.php,https://www.isomer.com.tr/tr/form-basvuru.php,,
Koç Savunma,ODTÜ,0 (312) 218 89 00,https://www.kocsavunma.com/index.html,info@kocsavunma.com.tr,,
Kua Soft,ODTÜ,0 312 210 10 96,https://www.kuasoft.com/,info@kuasoft.com,,
Labris Networks,ODTÜ,0) 312 210 1490 (PBX),https://labrisnetworks.com/,info@labrisnetworks.com,,
Lima TEk,ODTÜ,0 312 287 76 73,https://www.limatek.com.tr/,info@limatek.com.tr,,
Mantis,ODTÜ,0 (312) 299 25 05,https://mantis.com.tr/tr/anasayfa,bilgi@mantis.com.tr,, 
May Siber,ODTÜ,0 312 227 05 09,https://www.maysiber.com/,info@maysiber.com,,
Nano Sis,ODTÜ,0 312 299 2171,https://www.nano-sis.com.tr/,info@nano-sis.com.tr,,
TechNarts,ODTÜ,,https://technarts.com/,https://technarts.com/career/internship,,
Ordulu,ODTÜ,,https://www.ordulu.com/,https://www.ordulu.com/Internship-Application,,
PS Teknik,ODTÜ,0 312 495 3106,https://psteknik.com.tr/index.php,info@psteknik.com,,
Ratio,ODTÜ,,https://www.ratio.energy/,https://www.ratio.energy/submit-your-application,,
Retina Data,ODTÜ,,https://www.retinadata.com/,info@retinadata.com,,
Ritekom,ODTÜ,0 (312) 2858640,https://www.ritekom.com.tr/,info@ritekom.com.tr,,
SDT,ODTÜ,,https://www.sdt.com.tr/tr,hr@sdt.com.tr,,
SimBT,ODTÜ,0 312 210 01 16,https://www.simbt.com.tr/,info@simbt.com.tr,,
Sparse Tech,ODTÜ,0 312 511 22 83,https://www.sparsetechnology.com/,info@sparsetechnology.com,,
